dept_code,sub_dept,class,sub_class,description
812,22,225,103,"TK SLVLS"
812,22,225,105,"KNT DRSG"
812,22,226,0,"W SWEATR"
812,22,226,1,"CTN SWTR"
812,22,226,2,"MERINO S"
812,22,226,7,"N/O Y ST"
812,22,226,101,"MERINO S"
812,22,226,102,"MERINO S"
812,22,226,105,SWTRDRESS
812,22,226,107,"N/O Y ST"
812,23,0,0,ACCESSORIES
812,23,231,0,"M ACCESS"
812,23,231,1,"M BELTS"
812,23,231,3,"M SOCKS"
812,23,231,4,ITEMS
812,23,231,5,NECKWEAR
812,23,231,7,BAGS
812,23,231,8,"M SEASAC"
812,23,231,101,"M BELTS"
812,23,231,103,"M SOCKS"
812,23,231,104,"M BELTS"
812,23,231,105,NECKWEAR
812,23,231,106,BOXERS
812,23,231,107,BAGS
812,23,231,108,"M SEASAC"
812,23,232,0,"W ACCESS"
812,23,232,1,"W BELTS"
812,23,232,2,"W SEA AC"
812,23,232,5,BAGS
812,23,232,101,"W BELTS"
812,23,232,102,"W SEA AC"
812,23,232,105,BAGS
812,23,233,0,JEWELRY
812,23,233,1,EARRINGS
812,23,233,2,RINGS
812,23,233,3,BRACELET
812,23,233,4,NECKLACE
812,23,233,101,EARRINGS
812,23,233,102,RINGS
812,23,233,103,BRACELET
812,23,233,104,NECKLACE
812,23,233,105,ITEMS
812,24,0,0,SHOES
812,24,241,0,"M SHOES"
812,24,241,101,"NON SEAS"
812,24,241,102,SEASONAL
812,24,242,0,"W SHOES"
812,24,242,101,"OPEN TOE"
812,24,242,102,"CLOSED T"
813,0,0,0,OLDNAVY
813,32,0,0,MENS
813,32,320,0,"M PANTS"
813,32,320,1,FSHPANTS
813,32,320,100,BASPANT
813,32,320,101,FSHPANTS
813,32,320,102,SHORTS
813,32,322,0,"L/S SH"
813,32,322,2,S/S
813,32,322,100,"L/S SH"
813,32,322,102,S/S
813,32,322,103,OUTER
813,32,323,0,"M KN/SWT"
813,32,323,108,"FASH POL"
813,32,323,111,SWEATERS
813,32,325,0,MDENIM
813,32,325,100,BASDENIM
813,32,327,0,"M GRPH"
813,32,327,102,"GRPH TEE"
813,34,0,0,WOMENS
813,34,340,0,"W BOTTOM"
813,34,340,2,SHORTS
813,34,340,101,"FSHN PNT"
813,34,340,102,SHORTS
813,34,340,103,SKIRTS
813,34,341,0,"L/S TOPS"
813,34,341,100,"L/S TOPS"
813,34,341,104,SLESSTOP
813,34,342,0,"W KNITS"
813,34,342,6,"LS BASIC"
813,34,342,100,"S/S KNIT"
813,34,342,101,"L/S KNIT"
813,34,342,102,SLEEVLSS
813,34,342,106,"LS BASIC"
813,34,343,0,"W SWTRS"
813,34,343,101,"LONG SLV"
813,34,345,0,"W DENIM"
813,34,345,1,"F DN BTM"
813,34,345,101,"F DN BTM"
813,34,345,102,SHORTS
813,34,345,104,CAPRI
813,34,346,0,DRES/OUT
813,34,346,1,OUTRWR
813,34,346,3,DRESSES
813,34,346,101,OUTRWR
813,34,346,103,DRESSES
814,0,0,0,FRAGRANCES
814,811,0,0,"GAP FRAGRANCES"
814,811,999,0,"NO CLASS"
814,811,999,199,"NO SUB-CLASS"
814,812,0,0,"BR FRAGRANCES"
814,812,999,0,"NO CLASS"
814,812,999,199,"NO SUB CLASS"
815,0,0,0,"FRAGRANCES TESTER"
815,811,0,0,"GAP FRAGRANCES"
815,811,999,0,"NO CLASS"
815,811,999,199,"NO SUB-CLASS"
815,812,0,0,"BR TESTER"
815,812,999,0,"NO CLASS"
815,812,999,199,"NO SUB CLASS"
850,0,0,0,"PRESS SAMPLES"
850,811,0,0,GAP
850,811,100,0,MENS
850,811,100,199,"NO SUB-CLASS"
850,811,101,0,WOMENS
850,811,101,199,"NO SUB-CLASS"
850,811,102,0,KIDS
850,811,102,199,"NO SUB-CLASS"
850,811,103,0,BABY
850,811,103,199,"NO SUB-CLASS"
850,811,104,0,ACCESSORIES
850,811,104,199,"NO SUB-CLASS"
850,812,0,0,BR
850,812,100,0,MENS
850,812,100,199,"NO SUB-CLASS"
850,812,101,0,WOMENS
850,812,101,199,"NO SUB-CLASS"
850,812,104,0,ACCESS
850,812,104,199,"NO SUB-CLASS"
900,0,0,0,SSI
900,33,0,0,LUSH
900,33,999,0,"NO CLASS"
900,33,999,999,"NO SUBCLASS"
900,44,0,0,SpringField
900,44,999,0,"NO CLASS"
900,44,999,999,"NO SUBCLASS"
900,53,0,0,"FRUITS & PASSION"
900,53,999,0,"NO CLASS"
900,53,999,999,"NO SUBCLASS"
900,69,0,0,"OKA B"
900,69,999,0,"NO CLASS"
900,69,999,999,"NO SUBCLASS"
900,96,0,0,"STRIDE RITE"
900,96,999,0,"NO CLASS"
900,96,999,999,"NO SUBCLASS"
900,99,0,0,"SpringField Woman"
900,99,999,0,"NO CLASS"
900,99,999,999,"NO SUBCLASS"
900,102,0,0,SAMSONITE
900,102,999,0,"NO CLASS"
900,102,999,999,"NO SUBCLASS"
900,115,0,0,"A2 BY AEROSOLES"
900,115,999,0,"NO CLASS"
900,115,999,999,"NO SUBCLASS"
900,116,0,0,NURSEMATES
900,116,999,0,"NO CLASS"
900,116,999,999,"NO SUBCLASS"
900,118,0,0,F&F
900,118,999,0,"No Class"
900,118,999,999,"No Subclass"
811,17,173,4,SWEATERS
811,17,172,4,JACKETS
811,16,168,1,LONGJOHN
811,18,180,4,FSNWOVPA
811,19,192,9,TIGHTS
